Q,A
何謂「增貸」？,"「增貸」通常和銀行的估價有關。例如：銀行評估您的房子可貸金額200萬，您目前貸款剩餘100萬，而您需要50萬資金運用，您可以向銀行貸款再貸50-100萬房貸，這就是「增貸」。由於房地產大多會增值，就算您使用寬限期，沒有攤還本金，隨著它增值，可貸金額可能會提高，也使得有「增貸」的空間。

房貸增貸的做法，就像是和銀行重新打一個新的房貸契約一樣，因此房貸戶和銀行之間，會存在兩個房貸契約，借款人同時需要負擔2個房貸費用，但因利息通常比照房貸，因此負擔較輕，只要備妥相關文件，支前還款記錄正常，屋況與還款能力無虞的話，審核通常也較快速。"
房屋「增貸」的可能性大嗎？,如有以下幾種情況，可能造成增貸空間不夠。如：因為原本仍在繳納的舊約本金積欠太多、貸款成數過高、繳款紀錄不良，或是銀行重新鑑價評估後，發現該房屋增值的空間不大，則無法順利申請增貸。如果民眾還款的情況良好、原本貸款的本金已經還得差不多了，大部分銀行都願意讓貸款人可以順利申請到房屋增貸。
何謂「轉貸」？,所謂「轉貸」即是您目前房子還有貸款尚未償還完畢，但因為利息太高或想要增貸額外的金額，因此將貸款銀行由原先的A銀行「轉貸」到B銀行。
「轉貸」需注意什麼？,"‧轉貸之前記得確認原來房貸銀行的合約有無綁約，可以打去原貸款銀行問一下如果現在要清償餘額是多少，提早清償有沒有違約金等等。
‧因為轉貸也有費用 (代書費+塗銷原來的貸款重新設定到新銀行的規費等..通常約1萬以內) 如您原來的利息很高，貸款金額不低，省下來的貸款利息應該還是比這些費用划算，建議先精算一下，並確認一下轉貸後的綁約年限是否可以接受。"
房貸需要綁約？如提早還完需罰「違約金」？,"有些房貸方案有綁約規定，常見的有綁約1年-3年。通常有綁約的房貸，如想先提前部分還款，並不需要繳付違約金，但若是還清貸款並塗銷抵押權（包含將房屋轉售），則需要支付違約金。

通常此違約條款是為了防止投資客利用銀行資金買賣房屋套利，對大多數購買房屋自住的消費者而言，在1-3年內清償所有貸款的機率並不大，因此影響有限。"
什麼是寬限期？,「寬限期」是只繳利息，不還本金的期間。
每家銀行都可以給寬限期嗎？,大部分銀行有提供寬限期（部分區域或名下已有其他房貸者除外）
寬限期通常多久？,常見的「寬限期」為1-3年。
寬限期可以延長嗎？,需視銀行規定。有些銀行只要貸款人條件良好，繳款正常，願意接受貸款人申請延長寬限期。
寬限期是否愈長愈好？,寬限期越長，雖然可以降低月付金額壓力，但所支付的貸款利息相對也較多，且寬限期結束後，房貸本金就會擠壓在剩下的貸款期限內攤還，負擔大幅增加，因此建議依個人的資金規劃決定。
申請房貸需要保證人嗎？,不一定。如申貸人本身條件很好，則不需要提供保人。
保證人分為哪幾種？有無風險？,保人可以分為「一般保證人」和「連帶保證人」。「一般保證人」的擔保責任比較輕一點，如果貸款人沒有償還貸款，銀行必須先將抵押的房子法拍，法拍後的價金抵銷剩餘貸款不足的部分才可以向「一般保證人」求償。而如果是「連帶保證人」，擔保責任比較重一點，如果貸款人沒有償還貸款，銀行可以直接轉向「連帶保證人」求償，不需等房子執行法拍。雖然都是擔任保人，「一般保證人」擔保的金額不算他名下的債務，但是「連帶保證人」擔保的金額卻會算在他的名下！因此，擔任「連帶保證人」後，他自己的債信條件會變差，未來要貸款時額度也會減少。為了保護消費者，現在的銀行不能主動要求貸款人提供「連帶保證人」，所以大部分的保人都是屬於「一般保證人」。儘管如此，在提供保人時還是留意一下是哪一種。
申辦房屋貸款時須付什麼費用?,有些銀行對於房屋貸款有收取帳戶管理費及鑑價費，收費金額及方式可於詢問貸款條件時一併詢問。
「本金平均攤還」與「本息平均攤還」有何差別？,"‧本息平均攤還：在利率不變的條件下，每月攤還本金與利息的總合固定，還款預算較易掌握，是目前市面上較常見的還款方式。適合：固定薪水、每月預算固定的上班族。
‧本金平均攤還：每月攤還之本金固定，但每月償付之利息則逐月遞減，由於期初還款金額較多，因此可節省較多的利息支出。適合：手邊有現金較多的民眾或每月收入遠大於支出者。
"
何謂「一胎」與「二胎」房貸？,所謂「一胎」房貸，指的是在您的房子完全沒有抵押設定給別人的情況下，以此房子向銀行申請房屋貸款，此時貸款成數一般可達房屋價值的7-8成。而「二胎」房貸，則是在您的房子已經設定第一順位給別人的情況下，以此向銀行申請房屋貸款，此時貸款成數必須以房屋價值扣除第一順位抵押權設定金額後的餘額來核貸。此時銀行只能設定在第二順位。由於二胎房貸銀行的債權只能排在第二順位，而法拍市場拍賣房屋的價格大多較市價為低，第二順位債權人通常都無法取得拍賣所得，銀行承做的風險較高，因此多數銀行承做意願較低。至於一胎跟二胎可以選同一家銀行貸款也可以選不同銀行辦理。一般建議可以先詢問「轉增貸」的可能性，因利率較低，申請也較輕易，如不行再考慮二胎。
什麼是「理財型房貸」？," 「理財型房貸」一般也稱為「循環動用型房貸」。一般房貸還款後的本金部分不能再動用，而理財型房貸的還款本金 （包括每月攤還之本金及提前部分還款之本金）會轉換為循環額度，雖利率較一般房貸略高，但可隨時動用、隨借隨還按日計息，不動用不計息，活化不動產，擁有更多資金運用的彈性。
"
